1	1:-45	2:-51	3:-55	4:-51	5:-65	6:-66	7:-69	8:-83	9:-74	
1	1:-47	2:-45	3:-51	4:-51	5:-62	6:-80	7:-75	8:-83	9:-90
2	1:-51	2:-50	3:-56	4:-52	5:-66	6:-85	7:-88	8:-77	9:-87
1	1:-45	2:-49	3:-55	4:-51	5:-64	6:-66	7:-69	8:-83	9:-77	
1	1:-45	2:-50	3:-56	4:-52	5:-65	6:-67	7:-69	8:-83	9:-75	
4	1:-61	2:-50	3:-55	4:-68	5:-68	6:-75	7:-79	8:-79	9:-84
2	1:-48	2:-54	3:-63	4:-55	5:-68	6:-72	7:-73	8:-78	9:-76	
3	1:-49	2:-51	3:-47	4:-83	5:-51	6:-52	7:-68	8:-72	9:-72	
1	1:-45	2:-46	3:-48	4:-52	5:-63	6:-76	7:-76	8:-83	9:-89
1	1:-51	2:-43	3:-43	4:-54	5:-56	6:-75	7:-78	8:-78	9:-80
1	1:-45	2:-47	3:-56	4:-52	5:-65	6:-66	7:-68	8:-82	9:-75	
1	1:-46	2:-47	3:-56	4:-51	5:-62	6:-69	7:-69	8:-81	9:-78	
3	1:-52	2:-47	3:-65	4:-59	5:-61	6:-53	7:-71	8:-71	9:-73	
1	1:-45	2:-46	3:-45	4:-52	5:-64	6:-73	7:-72	8:-86	9:-88
1	1:-45	2:-48	3:-58	4:-53	5:-65	6:-67	7:-70	8:0	9:-74	
1	1:-45	2:-49	3:-50	4:-48	5:-66	6:-65	7:-69	8:-80	9:-79	
1	1:-45	2:-49	3:-54	4:-54	5:-63	6:-69	7:-70	8:-83	9:-80	
3	1:-52	2:-47	3:-65	4:-59	5:-61	6:-53	7:-71	8:-71	9:-73	
1	1:-45	2:-47	3:-55	4:-53	5:-67	6:-66	7:-69	8:-82	9:-77	
1	1:-45	2:-47	3:-56	4:-52	5:-65	6:-66	7:-70	8:0	9:-74	
1	1:-45	2:-47	3:-59	4:-51	5:-63	6:-67	7:-71	8:-83	9:-82	
1	1:-49	2:-43	3:-47	4:-55	5:-63	6:-74	7:-74	8:-84	9:-92
1	1:-45	2:-51	3:-57	4:-50	5:-65	6:-66	7:-70	8:-79	9:-75	
2	1:-47	2:-52	3:-65	4:-55	5:-67	6:-72	7:-72	8:-80	9:-77	
4	1:-58	2:-44	3:-62	4:-85	5:-51	6:-69	7:-74	8:-82	9:-81
4	1:-52	2:-48	3:-53	4:-83	5:-59	6:-61	7:-71	8:-75	9:-75	
1	1:-45	2:-47	3:-54	4:-48	5:-62	6:-65	7:-69	8:-74	9:-77	
4	1:-53	2:-53	3:-57	4:-83	5:-60	6:-63	7:-71	8:-76	9:-77	
4	1:-55	2:-47	3:-60	4:-83	5:-57	6:-62	7:-71	8:-73	9:-74	
1	1:-45	2:-53	3:-56	4:-52	5:-65	6:-67	7:-72	8:-83	9:-76	
1	1:-51	2:-43	3:-48	4:-56	5:-61	6:-74	7:-72	8:-75	9:-80
2	1:-51	2:-49	3:-62	4:-55	5:-67	6:-72	7:-73	8:-80	9:-79	
1	1:-45	2:-51	3:-60	4:-51	5:-65	6:-68	7:-70	8:-83	9:-80	
1	1:-46	2:-49	3:-57	4:-51	5:-63	6:-67	7:-68	8:-81	9:-79	
1	1:-50	2:-50	3:-53	4:-53	5:-60	6:-71	7:-77	8:-78	9:-83
1	1:-45	2:-51	3:-58	4:-52	5:-65	6:-66	7:-69	8:-83	9:-76	
1	1:-47	2:-43	3:-47	4:-55	5:-63	6:-75	7:-75	8:-83	9:-92
1	1:-49	2:-46	3:-45	4:-85	5:-67	6:-74	7:-73	8:-84	9:-90
4	1:-51	2:-47	3:-54	4:-57	5:-60	6:-64	7:-71	8:-74	9:-75	
1	1:-46	2:-46	3:-46	4:-52	5:-64	6:-74	7:-73	8:-84	9:-88
4	1:-55	2:-52	3:-63	4:-63	5:-59	6:-65	7:-74	8:-73	9:-75	
1	1:-45	2:-46	3:-46	4:-56	5:-64	6:-76	7:-74	8:-83	9:-89
1	1:-45	2:-49	3:-57	4:-51	5:-64	6:-66	7:-70	8:-80	9:-75	
2	1:-48	2:-55	3:-66	4:-57	5:-65	6:-72	7:-72	8:-80	9:-78	
1	1:-46	2:-46	3:-46	4:-52	5:-64	6:-74	7:-73	8:-84	9:-88
1	1:-48	2:-47	3:-45	4:-85	5:-64	6:-74	7:-72	8:-84	9:-90
3	1:-50	2:-47	3:-59	4:-60	5:-58	6:-55	7:-71	8:-72	9:-73	
